# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3124146	3124526	+							ABUW_RS15050	381		old_locus_tag=ABUW_3100
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3124146	3124526	+	WP_000952665.1	WP_000952665.1		aspartate 1-decarboxylase			ABUW_RS15050	381	126	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3124581	3125141	-							ABUW_RS15055	561		old_locus_tag=ABUW_3101
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3124581	3125141	-	WP_000716115.1	WP_000716115.1		GDYXXLXY domain-containing protein			ABUW_RS15055	561	186	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3125141	3126922	-							ABUW_RS15060	1782		old_locus_tag=ABUW_3102
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3125141	3126922	-	WP_001985868.1	WP_001985868.1		DUF2157 domain-containing protein			ABUW_RS15060	1782	593	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3127340	3127999	+					ribB		ABUW_RS15065	660		old_locus_tag=ABUW_3103
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3127340	3127999	+	WP_000096537.1	WP_000096537.1		3,4-dihydroxy-2-butanone-4-phosphate synthase	ribB		ABUW_RS15065	660	219	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3128065	3128739	-							ABUW_RS15070	675		old_locus_tag=ABUW_3104
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3128065	3128739	-	WP_000985168.1	WP_000985168.1		HAD-IA family hydrolase			ABUW_RS15070	675	224	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3128837	3129604	+							ABUW_RS15075	768		old_locus_tag=ABUW_3105
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3128837	3129604	+	WP_001247938.1	WP_001247938.1		hydroxymethylpyrimidine/phosphomethylpyrimidine kinase			ABUW_RS15075	768	255	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3129650	3130123	-					lysM		ABUW_RS15080	474		old_locus_tag=ABUW_3106
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3129650	3130123	-	WP_000522216.1	WP_000522216.1		peptidoglycan-binding protein LysM	lysM		ABUW_RS15080	474	157	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3130314	3130550	-					acpP		ABUW_RS15085	237		old_locus_tag=ABUW_3107
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3130314	3130550	-	WP_001279871.1	WP_001279871.1		acyl carrier protein	acpP		ABUW_RS15085	237	78	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3130635	3131369	-					fabG		ABUW_RS15090	735		old_locus_tag=ABUW_3108
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3130635	3131369	-	WP_000191300.1	WP_000191300.1		3-oxoacyl-ACP reductase FabG	fabG		ABUW_RS15090	735	244	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3131366	3132352	-					fabD		ABUW_RS15095	987		old_locus_tag=ABUW_3109
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3131366	3132352	-	WP_001274814.1	WP_001274814.1		ACP S-malonyltransferase	fabD		ABUW_RS15095	987	328	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3132505	3132690	-					rpmF		ABUW_RS15100	186		old_locus_tag=ABUW_3110
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3132505	3132690	-	WP_000290730.1	WP_000290730.1		50S ribosomal protein L32	rpmF		ABUW_RS15100	186	61	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3132765	3133325	-							ABUW_RS15105	561		old_locus_tag=ABUW_3111
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3132765	3133325	-	WP_001275712.1	WP_001275712.1		DUF177 domain-containing protein			ABUW_RS15105	561	186	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3133512	3134084	+							ABUW_RS15110	573		old_locus_tag=ABUW_3112
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3133512	3134084	+	WP_002060216.1	WP_002060216.1		elongation factor P hydroxylase			ABUW_RS15110	573	190	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3134174	3134791	+							ABUW_RS15115	618		old_locus_tag=ABUW_3113
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3134174	3134791	+	WP_000902820.1	WP_000902820.1		threonylcarbamoyl-AMP synthase			ABUW_RS15115	618	205	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3135044	3135811	+							ABUW_RS15120	768		old_locus_tag=ABUW_3114
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3135044	3135811	+	WP_000390423.1	WP_000390423.1		segregation/condensation protein A			ABUW_RS15120	768	255	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3135808	3136404	+					scpB		ABUW_RS15125	597		old_locus_tag=ABUW_3115
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3135808	3136404	+	WP_000093856.1	WP_000093856.1		SMC-Scp complex subunit ScpB	scpB		ABUW_RS15125	597	198	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3136446	3137369	+					rluB		ABUW_RS15130	924		old_locus_tag=ABUW_3116
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3136446	3137369	+	WP_001291249.1	WP_001291249.1		23S rRNA pseudouridine(2605) synthase RluB	rluB		ABUW_RS15130	924	307	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3137434	3138078	-					bioD		ABUW_RS15135	645		old_locus_tag=ABUW_3117
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3137434	3138078	-	WP_000016597.1	WP_000016597.1		ATP-dependent dethiobiotin synthetase BioD	bioD		ABUW_RS15135	645	214	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3138079	3138828	-					bioC		ABUW_RS15140	750		old_locus_tag=ABUW_3118
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3138079	3138828	-	WP_000055882.1	WP_000055882.1		malonyl-ACP O-methyltransferase BioC	bioC		ABUW_RS15140	750	249	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3138825	3139982	-							ABUW_RS15145	1158		old_locus_tag=ABUW_3119
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3138825	3139982	-	WP_000054321.1	WP_000054321.1		8-amino-7-oxononanoate synthase			ABUW_RS15145	1158	385	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3139984	3141264	-					bioA		ABUW_RS15150	1281		old_locus_tag=ABUW_3120
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3139984	3141264	-	WP_000131442.1	WP_000131442.1		adenosylmethionine--8-amino-7-oxononanoate transaminase	bioA		ABUW_RS15150	1281	426	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3141355	3142089	-							ABUW_RS15155	735		old_locus_tag=ABUW_3121
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3141355	3142089	-	WP_000776120.1	WP_000776120.1		alpha/beta fold hydrolase			ABUW_RS15155	735	244	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3142445	3143296	+					otsB		ABUW_RS15160	852		old_locus_tag=ABUW_3122
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3142445	3143296	+	WP_001064773.1	WP_001064773.1		trehalose-phosphatase	otsB		ABUW_RS15160	852	283	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3143320	3144714	+							ABUW_RS15165	1395		old_locus_tag=ABUW_3123
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3143320	3144714	+	WP_002000179.1	WP_002000179.1		trehalose-6-phosphate synthase			ABUW_RS15165	1395	464	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3144782	3145975	-							ABUW_RS15170	1194		old_locus_tag=ABUW_3124
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3144782	3145975	-	WP_001992131.1	WP_001992131.1		MFS transporter			ABUW_RS15170	1194	397	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3146270	3146734	-					bfr		ABUW_RS15175	465		old_locus_tag=ABUW_3125
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3146270	3146734	-	WP_001214863.1	WP_001214863.1		bacterioferritin	bfr		ABUW_RS15175	465	154	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3146988	3149024	-					ligA		ABUW_RS15180	2037		old_locus_tag=ABUW_3127
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3146988	3149024	-	WP_001018842.1	WP_001018842.1		NAD-dependent DNA ligase LigA	ligA		ABUW_RS15180	2037	678	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3149119	3150156	-							ABUW_RS15185	1038		old_locus_tag=ABUW_3128
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3149119	3150156	-	WP_000405207.1	WP_000405207.1		cell division protein ZipA			ABUW_RS15185	1038	345	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3150158	3153607	-					smc		ABUW_RS15190	3450		old_locus_tag=ABUW_3129
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3150158	3153607	-	WP_001239986.1	WP_001239986.1		chromosome segregation protein SMC	smc		ABUW_RS15190	3450	1149	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3153618	3154313	-							ABUW_RS15195	696		old_locus_tag=ABUW_3130
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3153618	3154313	-	WP_001047228.1	WP_001047228.1		GntR family transcriptional regulator			ABUW_RS15195	696	231	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3154562	3155365	-							ABUW_RS15200	804		old_locus_tag=ABUW_3131
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3154562	3155365	-	WP_000420180.1	WP_000420180.1		sulfite exporter TauE/SafE family protein			ABUW_RS15200	804	267	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3155396	3156148	+							ABUW_RS15205	753		old_locus_tag=ABUW_3132
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3155396	3156148	+	WP_000362827.1	WP_000362827.1		biotin--[acetyl-CoA-carboxylase] ligase			ABUW_RS15205	753	250	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3156163	3156897	+							ABUW_RS15210	735		old_locus_tag=ABUW_3133
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3156163	3156897	+	WP_000839416.1	WP_000839416.1		pantothenate kinase			ABUW_RS15210	735	244	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3156947	3158356	-					ffh		ABUW_RS15215	1410		old_locus_tag=ABUW_3134
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3156947	3158356	-	WP_000460625.1	WP_000460625.1		signal recognition particle protein	ffh		ABUW_RS15215	1410	469	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3158497	3159306	+					ccsA		ABUW_RS15220	810		old_locus_tag=ABUW_3135
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3158497	3159306	+	WP_000624642.1	WP_000624642.1		cytochrome c biogenesis protein CcsA	ccsA		ABUW_RS15220	810	269	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3159412	3160335	+							ABUW_RS15225	924		old_locus_tag=ABUW_3136
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3159412	3160335	+	WP_000398776.1	WP_000398776.1		tRNA-dihydrouridine synthase			ABUW_RS15225	924	307	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3160415	3161368	-							ABUW_RS15230	954		old_locus_tag=ABUW_3137
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3160415	3161368	-	WP_000791882.1	WP_000791882.1		hypothetical protein			ABUW_RS15230	954	317	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3161529	3163979	-							ABUW_RS15235	2451		old_locus_tag=ABUW_3138
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3161529	3163979	-	WP_001985876.1	WP_001985876.1		hypothetical protein			ABUW_RS15235	2451	816	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3163973	3164698	-							ABUW_RS15240	726		old_locus_tag=ABUW_3139
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3163973	3164698	-	WP_000724344.1	WP_000724344.1		hypothetical protein			ABUW_RS15240	726	241	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3164714	3166807	-							ABUW_RS15245	2094		old_locus_tag=ABUW_3140
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3164714	3166807	-	WP_000209696.1	WP_000209696.1		hypothetical protein			ABUW_RS15245	2094	697	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3167036	3168385	-							ABUW_RS15250	1350		old_locus_tag=ABUW_3141
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3167036	3168385	-	WP_001248745.1	WP_001248745.1		hypothetical protein			ABUW_RS15250	1350	449	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3168682	3169251	-							ABUW_RS15255	570		old_locus_tag=ABUW_3142
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3168682	3169251	-	WP_000985728.1	WP_000985728.1		dCTP deaminase			ABUW_RS15255	570	189	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3169366	3169959	-							ABUW_RS15260	594		old_locus_tag=ABUW_3143
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3169366	3169959	-	WP_000626777.1	WP_000626777.1		LysE family transporter			ABUW_RS15260	594	197	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3170316	3170882	+							ABUW_RS15265	567		old_locus_tag=ABUW_3144
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3170316	3170882	+	WP_000605098.1	WP_000605098.1		DUF2062 domain-containing protein			ABUW_RS15265	567	188	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3170913	3171785	-							ABUW_RS15270	873		old_locus_tag=ABUW_3145
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3170913	3171785	-	WP_001159880.1	WP_001159880.1		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase			ABUW_RS15270	873	290	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3171931	3173160	-					apbC		ABUW_RS15275	1230		old_locus_tag=ABUW_3146
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3171931	3173160	-	WP_000118707.1	WP_000118707.1		iron-sulfur cluster carrier protein ApbC	apbC		ABUW_RS15275	1230	409	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3173306	3173806	-							ABUW_RS15280	501		old_locus_tag=ABUW_3147
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3173306	3173806	-	WP_000206132.1	WP_000206132.1		hypothetical protein			ABUW_RS15280	501	166	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3174093	3176156	+					metG		ABUW_RS15285	2064		old_locus_tag=ABUW_3148
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3174093	3176156	+	WP_001226776.1	WP_001226776.1		methionine--tRNA ligase	metG		ABUW_RS15285	2064	687	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3176284	3176412	-							ABUW_RS15290	129		old_locus_tag=ABUW_3149
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3176284	3176412	-	WP_001261036.1	WP_001261036.1		hypothetical protein			ABUW_RS15290	129	42	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3176635	3177258	-							ABUW_RS15295	624		old_locus_tag=ABUW_3150
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3176635	3177258	-	WP_000463103.1	WP_000463103.1		LysE family translocator			ABUW_RS15295	624	207	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3177437	3178006	+							ABUW_RS15300	570		old_locus_tag=ABUW_3151
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3177437	3178006	+	WP_000044599.1	WP_000044599.1		TetR/AcrR family transcriptional regulator			ABUW_RS15300	570	189	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3178003	3179646	+							ABUW_RS15305	1644		old_locus_tag=ABUW_3152
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3178003	3179646	+	WP_000047790.1	WP_000047790.1		MFS transporter			ABUW_RS15305	1644	547	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3179687	3180820	+							ABUW_RS15310	1134		old_locus_tag=ABUW_3153
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3179687	3180820	+	WP_001278637.1	WP_001278637.1		HlyD family secretion protein			ABUW_RS15310	1134	377	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3180886	3181767	+							ABUW_RS15315	882		old_locus_tag=ABUW_3154
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3180886	3181767	+	WP_000459519.1	WP_000459519.1		1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase			ABUW_RS15315	882	293	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3181885	3183084	+							ABUW_RS15320	1200		old_locus_tag=ABUW_3155
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3181885	3183084	+	WP_000071499.1	WP_000071499.1		NAD(P)/FAD-dependent oxidoreductase			ABUW_RS15320	1200	399	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3183097	3183267	-							ABUW_RS20305	171		old_locus_tag=ABUW_3156
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3183097	3183267	-	WP_000742883.1	WP_000742883.1		hypothetical protein			ABUW_RS20305	171	56	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3183396	3185072	-							ABUW_RS15330	1677		old_locus_tag=ABUW_3157
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3183396	3185072	-	WP_001001666.1	WP_001001666.1		mechanosensitive ion channel			ABUW_RS15330	1677	558	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3185300	3185527	-							ABUW_RS15335	228		old_locus_tag=ABUW_3158
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3185300	3185527	-	WP_000543705.1	WP_000543705.1		hypothetical protein			ABUW_RS15335	228	75	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3185821	3186240	+							ABUW_RS15340	420		old_locus_tag=ABUW_3159
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3185821	3186240	+	WP_002000170.1	WP_002000170.1		hypothetical protein			ABUW_RS15340	420	139	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3186291	3187052	-							ABUW_RS15345	762		old_locus_tag=ABUW_3160
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3186291	3187052	-	WP_000021172.1	WP_000021172.1		ferredoxin--NADP reductase			ABUW_RS15345	762	253	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3187139	3188026	+							ABUW_RS15350	888		old_locus_tag=ABUW_3161
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3187139	3188026	+	WP_001242992.1	WP_001242992.1		LysR family transcriptional regulator			ABUW_RS15350	888	295	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3188038	3188385	-							ABUW_RS15355	348		old_locus_tag=ABUW_3162
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3188038	3188385	-	WP_000242892.1	WP_000242892.1		excalibur calcium-binding domain-containing protein			ABUW_RS15355	348	115	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3188651	3188944	-							ABUW_RS15360	294		old_locus_tag=ABUW_3163
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3188651	3188944	-	WP_000806837.1	WP_000806837.1		cold shock domain-containing protein			ABUW_RS15360	294	97	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3189061	3189696	-					upp		ABUW_RS15365	636		old_locus_tag=ABUW_3164
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3189061	3189696	-	WP_001007343.1	WP_001007343.1		uracil phosphoribosyltransferase	upp		ABUW_RS15365	636	211	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3189797	3191293	-					nuoN		ABUW_RS15370	1497		old_locus_tag=ABUW_3165
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3189797	3191293	-	WP_001011955.1	WP_001011955.1		NADH-quinone oxidoreductase subunit NuoN	nuoN		ABUW_RS15370	1497	498	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3191296	3192894	-					nuoM		ABUW_RS15375	1599		old_locus_tag=ABUW_3166
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3191296	3192894	-	WP_000429844.1	WP_000429844.1		NADH-quinone oxidoreductase subunit M	nuoM		ABUW_RS15375	1599	532	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3192896	3194785	-					nuoL		ABUW_RS15380	1890		old_locus_tag=ABUW_3167
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3192896	3194785	-	WP_000121137.1	WP_000121137.1		NADH-quinone oxidoreductase subunit L	nuoL		ABUW_RS15380	1890	629	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3194782	3195090	-					nuoK		ABUW_RS15385	309		old_locus_tag=ABUW_3168
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3194782	3195090	-	WP_000529822.1	WP_000529822.1		NADH-quinone oxidoreductase subunit NuoK	nuoK		ABUW_RS15385	309	102	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3195090	3195608	-					nuoJ		ABUW_RS15390	519		old_locus_tag=ABUW_3169
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3195090	3195608	-	WP_012578792.1	WP_012578792.1		NADH-quinone oxidoreductase subunit J	nuoJ		ABUW_RS15390	519	172	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3195608	3196150	-					nuoI		ABUW_RS15395	543		old_locus_tag=ABUW_3170
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3195608	3196150	-	WP_000276693.1	WP_000276693.1		NADH-quinone oxidoreductase subunit NuoI	nuoI		ABUW_RS15395	543	180	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3196169	3197185	-					nuoH		ABUW_RS15400	1017		old_locus_tag=ABUW_3171
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3196169	3197185	-	WP_001070988.1	WP_001070988.1		NADH-quinone oxidoreductase subunit NuoH	nuoH		ABUW_RS15400	1017	338	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3197189	3199873	-					nuoG		ABUW_RS15405	2685		old_locus_tag=ABUW_3172
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3197189	3199873	-	WP_000190957.1	WP_000190957.1		NADH-quinone oxidoreductase subunit NuoG	nuoG		ABUW_RS15405	2685	894	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3199885	3201216	-					nuoF		ABUW_RS15410	1332		old_locus_tag=ABUW_3173
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3199885	3201216	-	WP_001091098.1	WP_001091098.1		NADH-quinone oxidoreductase subunit NuoF	nuoF		ABUW_RS15410	1332	443	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3201213	3201722	-					nuoE		ABUW_RS15415	510		old_locus_tag=ABUW_3174
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3201213	3201722	-	WP_000973142.1	WP_000973142.1		NADH-quinone oxidoreductase subunit NuoE	nuoE		ABUW_RS15415	510	169	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3201736	3203523	-					nuoC		ABUW_RS15420	1788		old_locus_tag=ABUW_3175
